 Cloud Cover High [high cld lay], Direct Shortwave Radiation, FAO Reference Evapotranspiration [2 m], Relative Humidity [2 m], Relative Humidity [2 m]_1, Relative Humidity [2 m]_2, Soil Moisture [28-100 cm down], Soil Moisture [28-100 cm down]_10, Soil Moisture [28-100 cm down]_9, Soil Moisture [7-28 cm down], Soil Moisture [7-28 cm down]_7, Soil Moisture [7-28 cm down]_8, Soil Temperature [100-255 cm down], Soil Temperature [100-255 cm down]_3, Soil Temperature [100-255 cm down]_4, Temperature, Temperature [2 m elevation corrected], Temperature [2 m elevation corrected]_1, Temperature [2 m elevation corrected]_2, Temperature_5, Temperature_6, Vapor Pressure Deficit [2 m], Vapor Pressure Deficit [2 m]_1, Vapor Pressure Deficit [2 m]_2,Incendio
56.083332,4145,3.8626044,79.176346,22.599285,53.568966,0.272,0.27166668,0.271,0.21,0.209,0.20966671,17.17,17.16,17.165834,34.45,25.449104,9.179106,16.546602,3.81,14.822918,22.088408,2.0883007,9.108302,1
24.708334,5050,3.9943705,78.82143,12.882591,47.288284,0.272,0.271125,0.27,0.211,0.209,0.20991667,17.16,17.14,17.148752,35.43,25.719105,9.859105,16.544521,1.98,14.875416,25.186241,2.3665009,10.6589,0
21.708334,4346,3.627154,80.02335,22.327425,50.9456,0.27,0.2669166,0.264,0.211,0.206,0.2084583,17.14,17.12,17.130419,34.49,24.209105,10.499105,16.00994,5.91,15.619999,20.254679,2.2171526,9.001664,0
9.125,3662,3.1028543,92.607506,35.786774,65.861565,0.264,0.26366663,0.26,0.208,0.207,0.20758335,17.12,17.11,17.113745,33,21.109104,11.179105,15.387021,7.31,15.823335,14.013285,0.84921455,5.9991703,0
10.583333,4382,3.5544853,95.17988,19.084951,61.44147,0.26,0.25912496,0.258,0.208,0.205,0.20658332,17.1,17.09,17.096666,32.23,23.139105,8.569105,14.859937,5.26,14.818751,20.061924,0.46966267,7.1542506,0
29.583334,5302,3.8700278,72.14878,5.543109,39.65929,0.258,0.25770828,0.257,0.206,0.205,0.20541662,17.09,17.08,17.084578,32.53,23.559105,6.5891056,13.896188,-2.29,12.203334,23.651854,2.9437637,10.074632,0
61.166668,4886,3.7854006,56.130394,10.246644,31.527056,0.257,0.2566667,0.256,0.205,0.204,0.20441668,17.08,17.06,17.066668,34.45,23.899105,5.769105,13.982438,-1.02,12.359584,23.254442,3.4722896,11.374846,0
36.625,4503,3.5870304,91.08876,16.746046,54.766994,0.256,0.25504172,0.253,0.204,0.198,0.20249997,17.06,17.04,17.04667,34.69,24.069105,7.779105,15.387855,2.49,14.5112505,21.850695,0.81155205,8.785623,0
3.75,4953,3.9704876,68.896,13.218159,40.90877,0.253,0.2525833,0.249,0.198,0.196,0.19758332,17.03,17.01,17.022917,36.06,26.219105,7.599105,15.851189,1.56,14.795835,25.877945,2.8661733,11.365094,0
28.333334,4727,4.003178,59.026775,13.342634,40.44936,0.249,0.2485,0.248,0.196,0.195,0.1955,17.01,16.99,17.002499,35.2,25.769106,7.5491056,15.800773,2.58,15.193748,25.211708,3.7461534,11.207011,0
2,4584,3.7859674,68.39165,11.666141,44.544582,0.249,0.2476667,0.245,0.196,0.194,0.19533332,16.99,16.97,16.981668,36.51,25.239105,9.909105,16.659105,3.23,15.125419,24.890755,3.3317966,11.015616,0
11.583333,4381,3.6265404,66.2269,20.857252,45.982162,0.245,0.24375002,0.242,0.194,0.192,0.19333334,16.97,16.95,16.963331,35.92,25.249105,9.609105,16.395771,2.89,15.066666,22.314362,3.5148568,10.392842,0
2.25,4087,3.3351884,85.95757,27.26365,58.483017,0.242,0.24083327,0.24,0.192,0.19,0.19083337,16.95,16.94,16.945417,35.29,24.039104,9.179106,15.57452,4.66,15.251666,19.043745,1.4082451,7.943112,0
